"DATAH","SECONDS","NANOSECONDS","NDX","DIAG","REMARK","DATE","TIME","H2O","CO2","CH4","CAVITY_P","CAVITY_T","LASER_PHASE_P","LASER_T","RESIDUAL","RING_DOWN_TIME","THERMAL_ENCLOSURE_T","PHASE_ERROR","LASER_T_SHIFT","INPUT_VOLTAGE","CHK","DATETIME","time_CST","REMARK_ID","time_elapsed","efflux_tree","Site","Treatment","RATE_CO2","RATE_CO2_molmol","RATE_CH4","RATE_CH4_molmol","CO2_flux.mol.s","CH4_flux.mol.s","CO2_flux.mol.m2.s","CH4_flux.mol.m2.s","CO2_flux.umol.m2.s","CH4_flux.umol.m2.s","Q1","Q3","IQR","is_outlier_ch4","is_outlier_co2"
"DATA",1736508851,816896915,49984,0,"","2025-01-10","11:34:11",24444.182,420.61658,1975.214,40.6574,55.0003,29.3611,37.6488,0.00390055,12.1286,54.5005,-16.25,-0.524123,14.8225,159,2025-01-10 11:34:11,2025-01-10 11:34:11,"1",0.166666666666667,"v1","S4","Elevated",1.04241999999999,1.04241999999999e-06,-0.0498000000000047,-4.98000000000047e-11,1.93263228782148e-08,-9.23285124359852e-13,2.72653529097368e-06,-1.30255998053091e-10,2.72653529097368,-0.000130255998053091,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508852,816896915,49988,0,"","2025-01-10","11:34:12",24497.994,419.94986,1975.0706,40.6582,55.0003,29.3599,37.6488,0.00394342,12.1284,54.5005,-55.5,-0.524123,14.8209,226,2025-01-10 11:34:12,2025-01-10 11:34:12,"1",0.183333333333333,"v1","S4","Elevated",-0.666719999999998,-6.66719999999998e-07,-0.143399999999929,-1.43399999999929e-10,-1.23608967492598e-08,-2.65861620146836e-12,-1.74386102453712e-06,-3.75074500417715e-10,-1.74386102453712,-0.000375074500417715,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508853,816896915,49992,0,"","2025-01-10","11:34:13",24525.4,420.13611,1975.1816,40.6582,55.0003,29.3591,37.6488,0.0039386,12.1282,54.5005,4.25,-0.524123,14.8205,221,2025-01-10 11:34:13,2025-01-10 11:34:13,"1",0.2,"v1","S4","Elevated",0.186249999999973,1.86249999999973e-07,0.110999999999876,1.10999999999876e-10,3.45304928538114e-09,2.05792467477549e-12,4.87152201553862e-07,2.9032963421437e-10,0.487152201553862,0.00029032963421437,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508854,816896915,49996,0,"","2025-01-10","11:34:14",24530.904,421.41238,1975.3492,40.6594,55.0003,29.3599,37.6488,0.00395528,12.1275,54.5005,-33.25,-0.524123,14.8209,244,2025-01-10 11:34:14,2025-01-10 11:34:14,"1",0.216666666666667,"v1","S4","Elevated",1.27627000000001,1.27627000000001e-06,0.16760000000022,1.6760000000022e-10,2.36618695916997e-08,3.1072808602992e-12,3.33818920954225e-06,4.38371591841861e-10,3.33818920954225,0.000438371591841861,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508855,816587924,50000,0,"","2025-01-10","11:34:15",24542.141,426.22867,1975.4924,40.6606,55.0003,29.3586,37.6488,0.00389317,12.1268,54.5005,57.25,-0.524123,14.8217,171,2025-01-10 11:34:15,2025-01-10 11:34:15,"1",0.233333333333333,"v1","S4","Elevated",4.81629000000004,4.81629000000004e-06,0.143199999999979,1.43199999999979e-10,8.92933516386089e-08,2.6549082290823e-12,1.25974028285756e-05,3.74551383959802e-10,12.5974028285756,0.000374551383959802,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,TRUE
"DATA",1736508856,816587924,50004,0,"","2025-01-10","11:34:16",24586.281,425.77274,1975.4791,40.6582,55.0003,29.3586,37.6488,0.00397644,12.1266,54.5005,-19,-0.524123,14.8209,91,2025-01-10 11:34:16,2025-01-10 11:34:16,"1",0.25,"v1","S4","Elevated",-0.455930000000023,-4.55930000000023e-07,-0.013300000000072,-1.3300000000072e-11,-8.45287925199536e-09,-2.46580163735971e-13,-1.19252243358119e-06,-3.47872444601472e-11,-1.19252243358119,-3.47872444601472e-05,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508857,816587924,50008,0,"","2025-01-10","11:34:17",24630.129,426.84698,1975.283,40.6606,55.0003,29.3599,37.6488,0.00393888,12.1275,54.5005,40.5,-0.524123,14.8205,92,2025-01-10 11:34:17,2025-01-10 11:34:17,"1",0.266666666666667,"v1","S4","Elevated",1.07423999999997,1.07423999999997e-06,-0.196100000000115,-1.96100000000115e-10,1.99162612849841e-08,-3.63566692544289e-12,2.80976311944851e-06,-5.12915687112926e-10,2.80976311944851,-0.000512915687112926,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508858,816587924,50012,0,"","2025-01-10","11:34:18",24670.146,427.08405,1975.3621,40.6602,55.0003,29.3599,37.6488,0.0039757,12.1271,54.5005,-7.5,-0.524123,14.8205,58,2025-01-10 11:34:18,2025-01-10 11:34:18,"1",0.283333333333333,"v1","S4","Elevated",0.237070000000017,2.37070000000017e-07,0.0791000000001532,7.91000000001532e-11,4.39524506891536e-09,1.4665030790562e-12,6.20076093543084e-07,2.06892559156997e-10,0.620076093543084,0.000206892559156997,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508859,816587924,50016,0,"","2025-01-10","11:34:19",24714.74,427.63937,1975.5964,40.6598,55.0003,29.3582,37.6488,0.0039962,12.1272,54.5005,-49,-0.524123,14.8202,251,2025-01-10 11:34:19,2025-01-10 11:34:19,"1",0.3,"v1","S4","Elevated",0.555319999999995,5.55319999999995e-07,0.234299999999848,2.34299999999848e-10,1.0295556129708e-08,4.34388965135246e-12,1.45248515740632e-06,6.12830930598726e-10,1.45248515740632,0.000612830930598726,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508860,816587924,50020,0,"","2025-01-10","11:34:20",24746.365,428.79715,1975.7581,40.659,55.0003,29.3578,37.6488,0.00399031,12.1271,54.5005,21.5,-0.524123,14.8209,72,2025-01-10 11:34:20,2025-01-10 11:34:20,"1",0.316666666666667,"v1","S4","Elevated",1.15778,1.15778e-06,0.16170000000011,1.6170000000011e-10,2.14650813510291e-08,2.99789567488103e-12,3.02826886397377e-06,4.2293965632926e-10,3.02826886397377,0.00042293965632926,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508861,816587924,50024,0,"","2025-01-10","11:34:21",24770.062,428.63898,1975.7676,40.6615,55.0003,29.3595,37.6488,0.00399452,12.1267,54.5005,28.25,-0.524123,14.8202,186,2025-01-10 11:34:21,2025-01-10 11:34:21,"1",0.333333333333333,"v1","S4","Elevated",-0.158169999999984,-1.58169999999984e-07,0.00949999999988904,9.49999999988904e-12,-2.93244996224838e-09,1.76128688379826e-13,-4.13706650844445e-07,2.48480317568232e-11,-0.413706650844445,2.48480317568232e-05,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508862,816587924,50028,0,"","2025-01-10","11:34:22",24789.637,430.09793,1975.9735,40.6598,55.0003,29.3599,37.6488,0.00398195,12.1265,54.5005,-14.25,-0.524123,14.8213,252,2025-01-10 11:34:22,2025-01-10 11:34:22,"1",0.35,"v1","S4","Elevated",1.45895000000002,1.45895000000002e-06,0.205900000000156,2.05900000000156e-10,2.70487315699737e-08,3.81735757240601e-12,3.8160037823201e-06,5.38548393557213e-10,3.8160037823201,0.000538548393557213,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508863,816262960,50032,0,"","2025-01-10","11:34:23",24812.432,428.74796,1975.9799,40.6598,55.0003,29.3595,37.6488,0.00402558,12.1261,54.5005,-40.75,-0.524123,14.8205,227,2025-01-10 11:34:23,2025-01-10 11:34:23,"1",0.366666666666667,"v1","S4","Elevated",-1.34997000000004,-1.34997000000004e-06,0.00639999999998508,6.39999999998508e-12,-2.5028257416305e-08,1.18655116383308e-13,-3.53095762433173e-06,1.67397266573847e-11,-3.53095762433173,1.67397266573847e-05,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508864,816262960,50036,0,"","2025-01-10","11:34:24",24840.283,430.69669,1976.2858,40.6602,55.0003,29.3574,37.6488,0.00400621,12.1255,54.5005,20.75,-0.524123,14.8205,152,2025-01-10 11:34:24,2025-01-10 11:34:24,"1",0.383333333333333,"v1","S4","Elevated",1.94873000000001,1.94873000000001e-06,0.305900000000065,3.05900000000065e-10,3.61291851484661e-08,5.67134376589783e-12,5.09706367642525e-06,8.00106622579222e-10,5.09706367642525,0.000800106622579222,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508865,816262960,50040,0,"","2025-01-10","11:34:25",24873.537,434.34073,1976.8018,40.6606,55.0003,29.3586,37.6488,0.00399437,12.1264,54.5005,55.5,-0.524123,14.8213,117,2025-01-10 11:34:25,2025-01-10 11:34:25,"1",0.4,"v1","S4","Elevated",3.64404000000002,3.64404000000002e-06,0.515999999999849,5.15999999999849e-10,6.75599984853809e-08,9.56656875842367e-12,9.53128648886231e-06,1.3496404617544e-09,9.53128648886231,0.0013496404617544,-1.5379885424737,2.50806878018298,4.04605732265668,TRUE,FALSE
"DATA",1736508866,816262960,50044,0,"","2025-01-10","11:34:26",24907.74,438.73602,1977.3425,40.6627,55.0003,29.3623,37.6488,0.00398754,12.1262,54.5005,5.25,-0.524123,14.8202,61,2025-01-10 11:34:26,2025-01-10 11:34:26,"1",0.416666666666667,"v1","S4","Elevated",4.39528999999999,4.39528999999999e-06,0.540700000000015,5.40700000000015e-10,8.14880697640003e-08,1.00245033482196e-11,1.14962426843919e-05,1.41424534432333e-09,11.4962426843919,0.00141424534432333,-1.5379885424737,2.50806878018298,4.04605732265668,TRUE,TRUE
"DATA",1736508867,816262960,50048,0,"","2025-01-10","11:34:27",24939.254,441.86993,1977.7635,40.6602,55.0003,29.3607,37.6488,0.00400454,12.1252,54.5005,-110.25,-0.524123,14.8213,253,2025-01-10 11:34:27,2025-01-10 11:34:27,"1",0.433333333333333,"v1","S4","Elevated",3.13391000000001,3.13391000000001e-06,0.421000000000049,4.21000000000049e-10,5.81022587165125e-08,7.80528187460855e-12,8.19699949515112e-06,1.10116014418379e-09,8.19699949515112,0.00110116014418379,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508868,816262960,50052,0,"","2025-01-10","11:34:28",24965.803,444.22061,1977.895,40.6623,55.0003,29.3607,37.6488,0.00402807,12.1244,54.5005,148.75,-0.524123,14.819,116,2025-01-10 11:34:28,2025-01-10 11:34:28,"1",0.45,"v1","S4","Elevated",2.35068000000001,2.35068000000001e-06,0.13149999999996,1.3149999999996e-10,4.35812826532133e-08,2.43799184444321e-12,6.14839697798017e-06,3.43949071164149e-10,6.14839697798017,0.000343949071164149,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508869,816262960,50056,0,"","2025-01-10","11:34:29",24999.463,449.48825,1978.197,40.6648,55.0003,29.3636,37.6488,0.00384662,12.125,54.5005,151.25,-0.524123,14.8186,156,2025-01-10 11:34:29,2025-01-10 11:34:29,"1",0.466666666666667,"v1","S4","Elevated",5.26763999999997,5.26763999999997e-06,0.301999999999907,3.01999999999907e-10,9.76613183229406e-08,5.59903830434866e-12,1.37779458952674e-05,7.89905851646941e-10,13.7779458952674,0.000789905851646941,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,TRUE
"DATA",1736508870,815941095,50060,0,"","2025-01-10","11:34:30",25026.818,446.76672,1978.1051,40.6623,55.0003,29.3648,37.6488,0.00396217,12.1251,54.5005,-77,-0.524123,14.8198,61,2025-01-10 11:34:30,2025-01-10 11:34:30,"1",0.483333333333333,"v1","S4","Elevated",-2.72152999999997,-2.72152999999997e-06,-0.091899999999896,-9.1899999999896e-11,-5.04567904517832e-08,-1.7038133118186e-12,-7.11838567030907e-06,-2.40372012471172e-10,-7.11838567030907,-0.000240372012471172,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508871,815941095,50064,0,"","2025-01-10","11:34:31",25055.367,442.27213,1977.8156,40.6569,55.0003,29.3632,37.6488,0.00421176,12.1251,54.5005,-693,-0.524123,14.8194,106,2025-01-10 11:34:31,2025-01-10 11:34:31,"1",0.5,"v1","S4","Elevated",-4.49459000000002,-4.49459000000002e-06,-0.289500000000089,-2.89500000000089e-10,-8.33290780541399e-08,-5.36729003016534e-12,-1.1755970005811e-05,-7.57211073019636e-10,-11.755970005811,-0.000757211073019636,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,TRUE
"DATA",1736508872,815941095,50068,0,"","2025-01-10","11:34:32",25081.383,445.37833,1978.3744,40.6594,55.0003,29.3615,37.6488,0.00409148,12.1245,54.5005,-63,-0.524123,14.8194,70,2025-01-10 11:34:32,2025-01-10 11:34:32,"1",0.516666666666667,"v1","S4","Elevated",3.1062,3.1062e-06,0.558800000000019,5.58800000000019e-10,5.75885191422952e-08,1.0360074849242e-11,8.12452170988902e-06,1.46158738377636e-09,8.12452170988902,0.00146158738377636,-1.5379885424737,2.50806878018298,4.04605732265668,TRUE,FALSE
"DATA",1736508873,815941095,50072,0,"","2025-01-10","11:34:33",25107.875,447.59595,1978.5035,40.6627,55.0003,29.3619,37.6488,0.00405473,12.1245,54.5005,-252.25,-0.524123,14.8198,21,2025-01-10 11:34:33,2025-01-10 11:34:33,"1",0.533333333333333,"v1","S4","Elevated",2.21762000000001,2.21762000000001e-06,0.129100000000108,1.29100000000108e-10,4.11143686241508e-08,2.39349617580211e-12,5.80036759844317e-06,3.37671673668002e-10,5.80036759844317,0.000337671673668002,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508874,815941095,50076,0,"","2025-01-10","11:34:34",25136.43,448.70374,1978.4105,40.6602,55.0003,29.3599,37.6488,0.00406144,12.1246,54.5005,-87.5,-0.524123,14.8194,111,2025-01-10 11:34:34,2025-01-10 11:34:34,"1",0.55,"v1","S4","Elevated",1.10778999999997,1.10778999999997e-06,-0.0930000000000746,-9.30000000000746e-11,2.0538273652901e-08,-1.72420715995034e-12,2.89751590528545e-06,-2.43249152990884e-10,2.89751590528545,-0.000243249152990884,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508875,815941095,50080,0,"","2025-01-10","11:34:35",25147.26,451.77026,1978.7087,40.6631,55.0003,29.3603,37.6488,0.0040189,12.124,54.5005,7,-0.524123,14.8186,64,2025-01-10 11:34:35,2025-01-10 11:34:35,"1",0.566666666666667,"v1","S4","Elevated",3.06652000000003,3.06652000000003e-06,0.298199999999952,2.98199999999952e-10,5.68528574207174e-08,5.52858682899673e-12,8.02073540461305e-06,7.79966638944212e-10,8.02073540461305,0.000779966638944212,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508876,815941095,50084,0,"","2025-01-10","11:34:36",25175.098,453.42291,1978.6598,40.6602,55.0003,29.3582,37.6488,0.00408889,12.1242,54.5005,-97.25,-0.524123,14.819,191,2025-01-10 11:34:36,2025-01-10 11:34:36,"1",0.583333333333333,"v1","S4","Elevated",1.65264999999999,1.65264999999999e-06,-0.0489000000000033,-4.89000000000033e-11,3.06399028267702e-08,-9.06599248618383e-13,4.32264207193614e-06,-1.27901973991887e-10,4.32264207193614,-0.000127901973991887,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508877,815941095,50088,0,"","2025-01-10","11:34:37",25196.209,460.23459,1979.1572,40.6623,55.0003,29.3574,37.6488,0.00404202,12.1236,54.5005,73,-0.524123,14.8194,19,2025-01-10 11:34:37,2025-01-10 11:34:37,"1",0.6,"v1","S4","Elevated",6.81168000000002,6.81168000000002e-06,0.497400000000198,4.97400000000198e-10,1.26287606744959e-07,9.22172732644035e-12,1.78165095746626e-05,1.30099063115717e-09,17.8165095746626,0.00130099063115717,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,TRUE
"DATA",1736508878,815625905,50092,0,"","2025-01-10","11:34:38",25218.312,465.40152,1980.196,40.6619,55.0003,29.3582,37.6488,0.00405588,12.1226,54.5005,36,-0.524123,14.8194,220,2025-01-10 11:34:38,2025-01-10 11:34:38,"1",0.616666666666667,"v1","S4","Elevated",5.16692999999998,5.16692999999998e-06,1.03879999999981,1.03879999999981e-09,9.57941688274734e-08,1.9259208578007e-11,1.35145306028191e-05,2.7170668830826e-09,13.5145306028191,0.0027170668830826,-1.5379885424737,2.50806878018298,4.04605732265668,TRUE,TRUE
"DATA",1736508879,815625905,50096,0,"","2025-01-10","11:34:39",25244.111,466.63,1981.0963,40.6631,55.0003,29.3599,37.6488,0.00402679,12.1231,54.5005,103.25,-0.524123,14.8186,60,2025-01-10 11:34:39,2025-01-10 11:34:39,"1",0.633333333333333,"v1","S4","Elevated",1.22847999999999,1.22847999999999e-06,0.900300000000016,9.00300000000016e-10,2.27758495898288e-08,1.66914377000223e-11,3.21319053189247e-06,2.35480873588732e-09,3.21319053189247,0.00235480873588732,-1.5379885424737,2.50806878018298,4.04605732265668,TRUE,FALSE
"DATA",1736508880,815625905,50100,0,"","2025-01-10","11:34:40",25265.152,467.45486,1981.1602,40.6631,55.0003,29.364,37.649,0.00402289,12.1224,54.5005,42.75,-0.524123,14.8202,23,2025-01-10 11:34:40,2025-01-10 11:34:40,"1",0.65,"v1","S4","Elevated",0.824860000000001,8.24860000000001e-07,0.0639000000001033,6.39000000001033e-11,1.52927905156505e-08,1.18469717764426e-12,2.1574892079129e-06,1.67135708345486e-10,2.1574892079129,0.000167135708345486,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508881,815625905,50104,0,"","2025-01-10","11:34:41",25296.289,468.10541,1981.056,40.6619,55.0003,29.3623,37.6488,0.00407725,12.1228,54.5005,-37.75,-0.524123,14.8194,156,2025-01-10 11:34:41,2025-01-10 11:34:41,"1",0.666666666666667,"v1","S4","Elevated",0.65055000000001,6.5055000000001e-07,-0.104199999999992,-1.04199999999992e-10,1.20611071817722e-08,-1.93185361362007e-12,1.70156705890425e-06,-2.72543674641159e-10,1.70156705890425,-0.000272543674641159,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508882,815625905,50108,0,"","2025-01-10","11:34:42",25332.113,471.43317,1982.4041,40.6631,55.0003,29.3628,37.6488,0.00402579,12.1228,54.5005,27.25,-0.524123,14.819,85,2025-01-10 11:34:42,2025-01-10 11:34:42,"1",0.683333333333333,"v1","S4","Elevated",3.32776000000001,3.32776000000001e-06,1.34809999999993,1.34809999999993e-09,6.16962109525996e-08,2.49935878744846e-11,8.70403012211073e-06,3.52606648544872e-09,8.70403012211074,0.00352606648544872,-1.5379885424737,2.50806878018298,4.04605732265668,TRUE,FALSE
"DATA",1736508883,815625905,50112,0,"","2025-01-10","11:34:43",25349.393,471.17584,1983.6042,40.6639,55.0003,29.3628,37.6488,0.0040503,12.1221,54.5005,-4.25,-0.524123,14.8198,97,2025-01-10 11:34:43,2025-01-10 11:34:43,"1",0.7,"v1","S4","Elevated",-0.257330000000024,-2.57330000000024e-07,1.20010000000002,1.20010000000002e-09,-4.77086267171728e-09,2.22496883081159e-11,-6.7306779074301e-07,3.13896030649603e-09,-0.67306779074301,0.00313896030649603,-1.5379885424737,2.50806878018298,4.04605732265668,TRUE,FALSE
"DATA",1736508884,815625905,50116,0,"","2025-01-10","11:34:44",25353.125,471.78232,1982.8196,40.6627,55.0003,29.3603,37.6488,0.00406335,12.1221,54.5005,-46.75,-0.524123,14.8182,198,2025-01-10 11:34:44,2025-01-10 11:34:44,"1",0.716666666666667,"v1","S4","Elevated",0.606480000000033,6.06480000000033e-07,-0.784599999999955,-7.84599999999955e-10,1.12440554663e-08,-1.45463756741492e-11,1.58629834737421e-06,-2.05218586490843e-09,1.58629834737421,-0.00205218586490843,-1.5379885424737,2.50806878018298,4.04605732265668,TRUE,FALSE
"DATA",1736508885,815313100,50120,0,"","2025-01-10","11:34:45",25367.117,472.30099,1982.3467,40.6627,55.0003,29.3599,37.6488,0.00409711,12.1223,54.5005,-29.75,-0.524123,14.817,145,2025-01-10 11:34:45,2025-01-10 11:34:45,"1",0.733333333333333,"v1","S4","Elevated",0.518669999999986,5.18669999999986e-07,-0.472899999999981,-4.72899999999981e-10,9.61607018979249e-09,-8.76750070903043e-12,1.35662406646965e-06,-1.23690886504615e-09,1.35662406646965,-0.00123690886504615,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
"DATA",1736508886,815313100,50124,0,"","2025-01-10","11:34:46",25382.832,474.23831,1982.7584,40.6627,55.0003,29.3603,37.6488,0.00406925,12.122,54.5005,31.5,-0.524123,14.8182,37,2025-01-10 11:34:46,2025-01-10 11:34:46,"1",0.75,"v1","S4","Elevated",1.93732,1.93732e-06,0.411699999999882,4.11699999999883e-10,3.59176453237883e-08,7.63286115861057e-12,5.06721988249378e-06,1.07683522888428e-09,5.06721988249378,0.00107683522888428,-1.5379885424737,2.50806878018298,4.04605732265668,FALSE,FALSE
